Timestamp,Message
2025-07-04 19:48:14,"127.0.0.1 - - [04/Jul/2025 19:48:14] ""GET /graph?ts=1751638694109 HTTP/1.1"" 200 -
"
2025-07-04 19:48:14,"127.0.0.1 - - [04/Jul/2025 19:48:14] ""GET /graph HTTP/1.1"" 200 -
"
2025-07-04 19:48:15,"[ALERT] 52.182.143.211 | Packets: 101
"
2025-07-04 19:48:19,"127.0.0.1 - - [04/Jul/2025 19:48:19] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:48:19,"127.0.0.1 - - [04/Jul/2025 19:48:19] ""[35m[1mGET /blocked_ips HTTP/1.1[0m"" 500 -
"
2025-07-04 19:48:20,"127.0.0.1 - - [04/Jul/2025 19:48:20] ""GET /graph?ts=1751638699815 HTTP/1.1"" 200 -
"
2025-07-04 19:48:24,"127.0.0.1 - - [04/Jul/2025 19:48:24] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:48:24,"127.0.0.1 - - [04/Jul/2025 19:48:24] ""[35m[1mGET /blocked_ips HTTP/1.1[0m"" 500 -
"
2025-07-04 19:48:25,"127.0.0.1 - - [04/Jul/2025 19:48:25] ""GET /graph?ts=1751638704811 HTTP/1.1"" 200 -
"
2025-07-04 19:48:29,"127.0.0.1 - - [04/Jul/2025 19:48:29] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:48:29,"127.0.0.1 - - [04/Jul/2025 19:48:29] ""[35m[1mGET /blocked_ips HTTP/1.1[0m"" 500 -
"
2025-07-04 19:48:30,"127.0.0.1 - - [04/Jul/2025 19:48:30] ""GET /graph?ts=1751638709814 HTTP/1.1"" 200 -
"
2025-07-04 19:48:34,"127.0.0.1 - - [04/Jul/2025 19:48:34] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:48:34,"127.0.0.1 - - [04/Jul/2025 19:48:34] ""[35m[1mGET /blocked_ips HTTP/1.1[0m"" 500 -
"
2025-07-04 19:48:35,"127.0.0.1 - - [04/Jul/2025 19:48:35] ""GET /graph?ts=1751638714801 HTTP/1.1"" 200 -
"
2025-07-04 19:48:36,"127.0.0.1 - - [04/Jul/2025 19:48:36] ""GET / HTTP/1.1"" 200 -
"
2025-07-04 19:48:36,"127.0.0.1 - - [04/Jul/2025 19:48:36] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:48:36,"127.0.0.1 - - [04/Jul/2025 19:48:36] ""[35m[1mGET /blocked_ips HTTP/1.1[0m"" 500 -
"
2025-07-04 19:48:36,"127.0.0.1 - - [04/Jul/2025 19:48:36] ""GET /graph HTTP/1.1"" 200 -
"
2025-07-04 19:48:37,"127.0.0.1 - - [04/Jul/2025 19:48:37] ""GET /graph?ts=1751638716347 HTTP/1.1"" 200 -
"
2025-07-04 19:48:37,"127.0.0.1 - - [04/Jul/2025 19:48:37] ""GET / HTTP/1.1"" 200 -
"
2025-07-04 19:48:37,"127.0.0.1 - - [04/Jul/2025 19:48:37] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:48:37,"127.0.0.1 - - [04/Jul/2025 19:48:37] ""[35m[1mGET /blocked_ips HTTP/1.1[0m"" 500 -
"
2025-07-04 19:48:37,"127.0.0.1 - - [04/Jul/2025 19:48:37] ""GET /graph HTTP/1.1"" 200 -
"
2025-07-04 19:48:37,"127.0.0.1 - - [04/Jul/2025 19:48:37] ""GET /graph?ts=1751638717166 HTTP/1.1"" 200 -
"
2025-07-04 19:48:42,"127.0.0.1 - - [04/Jul/2025 19:48:42] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:48:42,"127.0.0.1 - - [04/Jul/2025 19:48:42] ""[35m[1mGET /blocked_ips HTTP/1.1[0m"" 500 -
"
2025-07-04 19:48:43,"127.0.0.1 - - [04/Jul/2025 19:48:43] ""GET /graph?ts=1751638722810 HTTP/1.1"" 200 -
"
2025-07-04 19:48:47,"127.0.0.1 - - [04/Jul/2025 19:48:47] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:48:47,"127.0.0.1 - - [04/Jul/2025 19:48:47] ""[35m[1mGET /blocked_ips HTTP/1.1[0m"" 500 -
"
2025-07-04 19:48:48,"127.0.0.1 - - [04/Jul/2025 19:48:48] ""GET /graph?ts=1751638727803 HTTP/1.1"" 200 -
"
2025-07-04 19:48:52,"127.0.0.1 - - [04/Jul/2025 19:48:52] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:48:52,"127.0.0.1 - - [04/Jul/2025 19:48:52] ""[35m[1mGET /blocked_ips HTTP/1.1[0m"" 500 -
"
